firm_name,client_staff_count
ГОУ СОШ № 1270,50 — 100
МВД России по Ростовской области,менее 50
Юго-Западная ТЭЦ,100 — 500
ПК-Сервис,менее 50
РУССНАБИНЖ,менее 50
НПГ Гранит-Саламандра,менее 50
СПб ГБУЗ МИАЦ,100 — 500
Мечел,более 5000
СПб ГКУ Организатор перевозок,1000 — 5000
ФГБУ Российский научный центр рентгенорадиологии Минздрава РФ,менее 50
Федеральное государственное бюджетное учреждение науки Ботанический институт им. В. Л. Комарова Российской академии наук,100 — 500
TNK,менее 50
"СЗРЦ ""Гарант Интернэшнл""",менее 50
Народный доверительный банк,50 — 100
ЦЭНКИ,1000 — 5000
"ООО ""ММПЗМ""",50 — 100
"ООО ""ФЕНИКС""",менее 50
Тульская фармацевтическая фабрика,100 — 500
Омникомм ДВ,менее 50
Инфоком,менее 50
Завод Метеор,500 — 1000
"Научно-производственная фирма ""Пакер""",500 — 1000
Академия управления МВД России,менее 50
Тульские машины,менее 50
АГД ДАЙМОНДС,менее 50
Аэропорт Казань,1000 — 5000
Хабаровская ремонтно-монтажная компания,1000 — 5000
UP Grade,менее 50
"СПб ГКУ ""Центр организации социального обслуживания""",100 — 500
"ООО ""ВЕРТИКАЛЬ""",менее 50
"Акционерное общество ""Судостроительный завод ""Море""",500 — 1000
БСП,менее 50
"Фирма ""Колбико""",500 — 1000
ИРЗ,более 5000
ГК Кронверк,менее 50
"""БЭСТ ПРАЙС"" / Fix Price",более 5000
Уральский клинический лечебно-реабилитационный центр им. В. В. Тетюхина,100 — 500
Металл Профиль,более 5000
Трест Росспецэнергомонтаж,более 5000
Миассмебель-Центр,100 — 500
ТГК-1,более 5000
Пятница,менее 50
Гражданстрой,менее 50
Дом Моды HENDERSON,1000 — 5000
"Магнолия, Сеть магазинов",более 5000
FIX PRICE,более 5000
