skills_normalized_2
""
"['JSON', 'API', 'знание', 'REST', 'Git', 'REST API', 'Python', 'SQL', 'GitHub', 'понимание', 'данных']"
"['PHP 7.4', 'Builder', 'Eloquent', 'PHP', 'ORM', 'Laravel 7', 'Eloquent ORM', 'PHP 7.4+', 'Laravel', 'Query']"
"['ЦФТ', 'банк', 'ЦФТ-Банк', 'АБС']"
"['kernel', 'оптимизация', 'Linux']"
"['C', 'Алгоритмы и структуры данных', 'классические алгоритмы', 'C#', 'алгоритмы', 'структуры данных', 'данных']"
"['HTML', 'JavaScript', 'CSS']"
"['Хранимые процедуры', 'знание', 'Оптимизация запросов', 'Python', 'Pandas', 'агрегатные функции', 'SQL', 'оконные функции', 'оптимизация']"
"['HTTP/HTTPS', 'Go', 'TLS', 'HTTP', 'HTTPS']"
"['Kubernetes', 'RabbitMQ', 'CD', 'CI/CD', 'CI', 'Kafka', 'GitLab', 'NATS']"
"['знание', 'boot', 'Spring', 'Spring Boot', 'PostgreSQL', 'Java', 'код', 'XSD', 'XML']"
""
"['stimulus', 'Sidekiq', 'PostgreSQL', 'Rails', 'Ruby', 'Tailwind']"
"['Django', 'FastAPI', 'Git', 'Python3', 'PostgreSQL', 'Docker', 'SQL']"
['Web']
"['T-SQL', 'JavaScript', 'MS SQL', 'pl', 'MS SQL Server', 'PostgreSQL', 'SQL', 'Oracle', 'HTML', 'SQL Server', 'PL/pgSQL']"
"['Security', 'jet']"
"['Системный анализ', 'DWH', 'опыт проектирования', 'Анализ', 'данных']"
"['level', 'RTL', 'Verilog', 'знание']"
['понимание']
"['SDK', 'Kotlin', 'Android SDK', 'уверенное владение', 'Android']"
"['Scala', 'опыт проектирования', 'уверенное владение', 'архитектуры', 'SQL']"
"['Python', 'JavaScript', 'понимание']"
"['Django', 'Framework', 'FastAPI', 'знание', 'Django Rest Framework', 'REST', 'Flask', 'Python', 'Rest Framework', 'SQL', 'Django Rest']"
"['Разработка', 'Python', 'UDP', 'TCP', 'ICMP']"
"['FastAPI', 'Python', 'langgraph', 'langchain', 'библиотеками', 'asyncpg', 'понимание']"
"['Linux', 'знание', 'C', 'архитектура', 'embedded', 'Администрирование']"
"['Wordpress', 'Actions', 'знание', 'PHP', 'понимание']"
"['Python', 'знание']"
"['знание', 'Git', 'STL', 'SQL', 'Boost', 'данных']"
"['Big Data', 'Azure', 'Data', 'Hadoop', 'Kubernetes', 'Spark', 'AWS', 'Docker', 'GCP']"
"['FastAPI', 'TypeScript', 'Docker', 'Redis', 'GitHub', 'контейнеризация', 'React', 'Базы данных', 'CI', 'GitLab', 'Frontend', 'данных', 'CI/CD', 'Flask', 'Backend', 'Python', 'Django', 'CD', 'Gitlab CI', 'PostgreSQL']"
"['ДО', 'понимание', 'данных']"
"['API', 'C', 'СУБД', 'C#', 'Web Api', 'Web']"
"['Kotlin', 'код', 'Java', 'Android']"
"['1С', 'опыт программирования']"
['документации']
"['знание', 'Stm32', 'C++', 'Web', 'HTML']"
"['RPA', 'it', 'uipath', 'архитектуры', 'понимание']"
"['JavaScript', 'API', 'TypeScript', 'Python', 'код', 'понимание']"
"['знание', 'СУБД', 'PHP']"
"['boot', 'Spring', 'Spring Boot', 'уверенное владение', 'Java']"
"['OpenProject', 'Kanban', 'код', 'GitLab', 'Ревью']"
"['JavaScript', 'DOM', 'CSS3', 'анимации', 'FlexBox', 'JavaScript ES6', 'БЭМ', 'управление', 'JQuery', 'Javascript ES6+', 'Grid']"
['Flutter']
['знание']
"['1С', 'БП', '1С 8.3', 'знание']"
""
"['JavaScript', 'HTML5', 'CSS3', 'ads', 'TypeScript']"
"['API', 'form', 'Drupal 7', 'database', 'Drupal', 'views', 'уверенное владение', 'понимание']"
"['знание', 'UI', 'TypeScript', 'React', 'UX']"
"['AI', 'процессы', 'бизнес', 'Бизнес-процессы']"
"['технологии', 'Информационные технологии']"
"['Docker', 'Python', 'AI']"
"['Linux', 'знание', 'otp', 'Erlang', 'Bash', 'понимание']"
"['it', 'JavaScript', 'знание', 'CSS', 'SPA', 'HTML']"
"['знание', 'СУБД', 'PostgreSQL', 'SQL', 'C++', 'данных']"
"['Windows Server', 'macOS', 'знание']"
"['знание', 'XSLT', 'уверенное владение', 'PostgreSQL', 'SQL', 'XML']"
"['синхронизации', 'Linux', 'C', 'знание']"
"['БП', 'знание', 'предприятие', '1С', '1С:Предприятие', 'корп']"
"['языки', 'Обучение']"
"['PHP', 'знание', 'php 8+', 'уверенное владение', 'PostgreSQL', 'PHP 8', 'MySQL', 'Laravel', 'данных']"
"['Web', 'знание', 'IDE']"
""
['it']
"['XML', 'JSON', 'Spring', 'Java']"
['1С']
"['it', 'ds', 'Data', 'llm', 'Data Science']"
"['Unix', 'опыт программирования', 'Linux']"
"['Saas', 'Go', 'понимание']"
"['Django', 'Framework', 'FastAPI', 'знание', 'Django Rest Framework', 'REST', 'Flask', 'Python', 'Rest Framework', 'SQL', 'Django Rest']"
"['управление', '1С', '1С:Управление холдингом', 'технологии']"
"['JavaScript', 'HTML5', 'знание', 'CSS3', 'CMS']"
"['JavaScript', 'React Native', 'знание', 'Native', 'React', 'TypeScript']"
"['kernel', 'Linux', 'Программирование', 'DMA', 'io', 'понимание']"
"['it', 'СКД', 'http-сервисы', 'SQL', 'сервисы', 'HTTP']"
"['API', 'C', 'СУБД', 'C#', 'Web Api', 'Web']"
"['JavaScript', 'знание', 'TypeScript', 'React', 'понимание']"
"['JavaScript', 'знание', 'Legacy', 'TypeScript', 'React', 'миграции']"
""
"['AI', 'Spark', 'AWS', 'Databricks', 'Python', 'cloudera', 'Tensorflow', 'SQL', 'sagemaker']"
"['знание', 'производительности', 'Python', 'async/await', 'Async', 'python 3.13', 'оптимизация', 'Await']"
