title,link,address,company,short_description,rich_description,salary,skils
Лид коммуникаций в IT-маркетинге,https://hh.ru/vacancy/132000075?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,JUG Ru Group,опыт работы в,,,
Менеджер по продажам IT,https://hh.ru/vacancy/131988153?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЮМА-Девелопмент,Опыт в B2B ( опыт в,,"от 170 000 ₽ за месяц, на руки",
Project Manager / Проджект менеджер IT / Менеджер IT-проекта,https://hh.ru/vacancy/131534217?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Визионеро,Имеете успешный опыт создания программно-аппаратных продуктов (в идеале - медоборудования или сложных решений). Имеете опыт разработки игровых приложений или механик...,,"200 000 – 250 000 ₽ за месяц, на руки",
IT Аккаунт менеджер (Outstaff),https://hh.ru/vacancy/131980599?query=it&hhtmFrom=vacancy_search_list,"Пермь, р-н Свердловский",Eclipse Digital,...ответственность за результат. Грамотная устная и письменная речь. Уверенное владение ПК. Опыт в,,,
Sales-manager в IT-компанию,https://hh.ru/vacancy/129582950?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,М-СТАЙЛ,"ВЫСШЕЕ ОБРАЗОВАНИЕ. - активность, обучаемость и интерес к сфере продаж. - позитивный настрой, грамотная речь и желание зарабатывать.",,"120 000 – 150 000 ₽ за месяц, на руки",
"Менеджер по продажам (В2В, IT продукт)",https://hh.ru/vacancy/131716940?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Забусти (ООО Эффективное Продвижение),Имеет опыт в продажах от 3 лет. Понимает специфику работы Wildberries (обязательно). Работает на удаленке не менее 1 года (высокая...,,"160 000 – 230 000 ₽ за месяц, на руки",
Менеджер проектов / Project manager (IT),https://hh.ru/vacancy/131199454?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Lasmart,Опыт от 3х лет в управлении,,,
Руководитель проектов Заказной разработки (IT-Project Manager),https://hh.ru/vacancy/130919466?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,"Опыт управления проектами разработки для внешнего заказчика. Опыт управления командами 10+ человек. Уверенное управление сроками, бюджетом и scope проекта.",,,
Системный администратор / Инженер IT-инфраструктуры,https://hh.ru/vacancy/131976810?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Innovative Network Technologies (Ай Эн Ти),"Active Directory (DC, GPO, DNS, FSMO, репликация). Поддержка Exchange (желательно 2016/2019). RDP / Terminal Services / VDI (VMware Horizon).",,,
Руководитель проектов в IT-компании,https://hh.ru/vacancy/131240636?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПРОТЕЙ ТЛ,Высшее техническое образование (предпочтительно в области связи или,,,
Менеджер проектных продаж IT-продукта,https://hh.ru/vacancy/120953573?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Фрунзенский",ООО Симпэйс,У тебя есть 1-3 года опыта в продажах (желательно B2B) и ты не представляешь жизни без азарта...,,,
Менеджер по сопровождению клиентов / Аккаунт-менеджер IT,https://hh.ru/vacancy/130698311?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,,,,
Менеджер по продажам маркетинговых услуг IT B2B,https://hh.ru/vacancy/129313454?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ДОКТУ,"Ты уверен в себе и настроен на результат. Ты активен, целеустремлен и хочешь много зарабатывать. У тебя грамотная устная и...",,"150 000 – 350 000 ₽ за месяц, на руки",
Менеджер по обучению клиентов ( IT компания - в офисе ),https://hh.ru/vacancy/131870190?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЮМА-Девелопмент,"Клиентоориентированность. Обучаемость. Ответственность. Мы приветствуем опытных кандидатов, однако наличие опыта на аналогичной позиции не является обязательным, т.к.",,"до 80 000 ₽ за месяц, на руки",
Менеджер по продажам IT и телеком-оборудования,https://hh.ru/vacancy/131195243?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Парк Телеком,"Требования к кандидату: ответственность, техническая и экономическая грамотность, коммуникабельность, грамотная устная речь, нацеленность на результат, стрессоустойчивость. Стремление к повышению профессионального...",,"120 000 – 150 000 ₽ за месяц, на руки",
Менеджер по продажам в IT (1С),https://hh.ru/vacancy/131243981?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,АртАйТи,Опыт работы в продажах или клиентском сервисе от 6 месяцев (желательно в B2B). Грамотная устная и письменная речь.,,,
Менеджер по продажам комплексных решений (IT),https://hh.ru/vacancy/131848169?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,MANGO OFFICE,"Имеете опыт B2B-продаж от 2 лет, идеально — в",,,
Начинающий IT-специалист / специалист по IP-телефонии,https://hh.ru/vacancy/131807725?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ESM DIGITAL,"Проактивный и внимательный к деталям. -Усидчивый, готов к рутинным задачам. -Технически подкованный (будет плюсом опыт с IP-телефонией и опыт...",,"70 000 ₽ за месяц, на руки",
Руководитель IT-проектов,https://hh.ru/vacancy/130899399?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Нетрика Медицина,Релевантный опыт работы от 3-х лет. Практический опыт организации разработки и внедрения ИС автоматизации деятельности организации. Практический опыт участия...,,,
Менеджер технической поддержки / аккаунт-менеджер в образовательной программе по запуску IT-проектов,https://hh.ru/vacancy/131270926?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Captain Lab,...технической поддержке,,"от 100 000 ₽ за месяц, на руки",
Руководитель проектов по внедрению финансовых IT-решений,https://hh.ru/vacancy/131091243?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,"ЭТМ, компания","Высшее образование (техническое, экономическое, управленческое). Опыт управления проектами в финансовом блоке. Понимание бизнес-процессов торговой компании, знание нормативной базы (приказы...",,,
