title,link,address,company,short_description,rich_description,salary,skils
Дизайнер,https://hh.ru/vacancy/129588622?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Компания Индид,Наличие портфолио. Опыт в создании,,,
UX/UI-дизайнер,https://hh.ru/vacancy/131613802?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Москва, р-н Тверской",Centaursoftware,Практический опыт работы ui/ux,,,
Графический дизайнер,https://hh.ru/vacancy/130375396?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Ташкент, улица Мукими, 158/1",ООО ICE FRUTS,Опыт в общепите / ритейле / франшизных брендах. - Понимание маркетинга и акционных механик. Важно:,,"14 000 000 – 15 000 000 so'm за месяц, до вычета налогов",
UX/UI-дизайнер,https://hh.ru/vacancy/129197162?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Ташкент, 1-й проезд Мукими, 59",АО PAYNET,От 3 лет опыта в UX/UI дизайне. Опыт работы в продуктовой компании в сфере финтех или банковских продуктов будет...,,,
UX/UI-дизайнер,https://hh.ru/vacancy/131612172?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО КомьюнитиТех Групп,"Экспертное знание гайдлайнов iOS (Human Interface Guidelines) и Android (Material Design), а также понимание, когда их можно и нужно нарушать.",,"1 100 – 1 400 ₽ за час, до вычета налогов",
Продуктовый дизайнер (Senior UX/UI),https://hh.ru/vacancy/131657252?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,...,,,
Графический Digital дизайнер,https://hh.ru/vacancy/130733920?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,городской посёлок Эркин,ООО BEST PLAST SERVICE,Опыт работы в digital-дизайне от 1 года. Знание современных графических программ и инструментов. Умение работать в команде и коммуникабельность.,,"4 000 000 – 6 000 000 so'm за месяц, на руки",
Дизайнер,https://hh.ru/vacancy/131271684?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Белгород, р-н Западный",ИП Федорченко ОВ,Навыки фотосъёмки и базовой предметной съёмки. Навыки,,"от 80 000 ₽ за месяц, на руки",
Дизайнер,https://hh.ru/vacancy/131264701?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Москва, р-н Замоскворечье",ООО Техпроминвест,"Высшее образование. MS PowerPoint , Adobe Illustrator, Adobe InDesign, Photoshop, навыки работы с ИИ (можно начальные). Опыт работы в дизайн агентствах...",,"от 100 000 ₽ за месяц, на руки",
Дизайнер,https://hh.ru/vacancy/131250733?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Москва, р-н Текстильщики",Гос. корп. ГБУК г. Москвы КЦ Москвич,Навыки работы с векторной и растровойграфикой. Базовое понимание,,"70 000 – 80 000 ₽ за месяц, до вычета налогов",
