title,link,address,company,short_description,rich_description,salary,skils
Senior frontend-разработчик,https://hh.ru/vacancy/115794035?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Бизнес Технологии,Значительный опыт работы (более 6 лет) в области frontend или fullstack разработки с решением обширных задач. — Уверенное владение основными веб...,,,
Senior java разработчик,https://hh.ru/vacancy/115793463?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Бизнес Технологии,"Уверенное знание Java SE (Готовы рассмотреть переход с других языков, таких как Python, NodeJs, С++, Delphi). Уверенное знание ООП или...",,,
Frontend-разработчик,https://hh.ru/vacancy/131520574?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,StudyWorld,"3+ лет опыта с React и TypeScript, в том числе коммерческий опыт с Next.js. Отличное знание TypeScript (типизация, generics...",,"от 200 000 ₽ за месяц, на руки",
Разработчик 1С,https://hh.ru/vacancy/131712419?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Базис Импорт,"Высшее образование (желательно профильное: техническое, IT или экономическое). Опыт работы",,"от 180 000 ₽ за месяц, на руки",
Инженер-программист,https://hh.ru/vacancy/131885751?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЗАО Технические Системы и Технологии,"Высшее техническое образование. - Уверенное знание языка программирования С. - Опыт разработки ПО для микроконтроллеров (ARM, AVR, MIPS). - Опыт использования ОСРВ (FreeRTOS...",,,
Программист-математик,https://hh.ru/vacancy/130925123?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Кировский","ОАО Авиационная и Морская Электроника, Научно-производственное предприятие","Обязательное знание языка С++; знание QT. Хорошее владение базовыми математическими основами (линейная алгебра, математическая статистика, метод наименьших квадратов и пр.).",,"от 220 000 ₽ за месяц, на руки",
Разработчик C++/QML,https://hh.ru/vacancy/129301263?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Специальный Технологический Центр (ООО СТЦ),Уверенное владение C++14 и выше. Опыт разработки GUI приложений и понимание их архитектуры. Знания и опыт работы с Qt...,,"до 250 000 ₽ за месяц, на руки",
Full Stack Developer / Разработчик,https://hh.ru/vacancy/129934499?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЯСП,"Уверенное владение JavaScript. Опыт работы с одним из серверных фреймворков (Express, Hono, Nest.js) и фронтенд-библиотек (React, Vue, Solid).",,,
Технолог-разработчик профессиональной косметики,https://hh.ru/vacancy/132003729?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,МСТ-Нано,"Высшее образование (химия, фармацевтика, биотехнологии). Опыт разработки косметических средств от 3–5 лет (skin care — обязательно). Глубокое понимание: Практический опыт...",,"150 000 – 350 000 ₽ за месяц, на руки",
Разработчик (PHP/Python/JS),https://hh.ru/vacancy/132001513?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Seven Group,"Опыт работы в арбитраже трафика/affiliate-маркетинге. Уверенное владение Python, а также JS/PHP. Опыт написания парсеров, ботов и скриптов...",,"от 1 300 $ за месяц, на руки",
Fullstack разработчик PHP,https://hh.ru/vacancy/131256145?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Smartis,"Опыт разработки высоконагруженных web-проектов от 3 лет. Знание языков программирования - php, javascript (Laravel + Vue.js). Знание СУБД: MySQL, ClickHouse.",,"180 000 – 230 000 ₽ за месяц, до вычета налогов",
Инженер-программист (Backend-разработчик/Python-разработчик),https://hh.ru/vacancy/131988263?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЗАО СММ,"Высшее или среднее профессиональное образование в области информационных технологий (прикладная информатика,",,,
Инженер-разработчик СУУТП,https://hh.ru/vacancy/131381205?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Т-Софт,Высшее техническое образование: инженер - технолог нефтехимического/ нефтеперерабатывающего производства или инженер по автоматизации технологических процессов и производств. Знание основ ПИД-регулирования.,,,
Химик-технолог / Разработчик ЛКМ,https://hh.ru/vacancy/130054646?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Огнеза,Опыт работы технологом-,,,
