title,link,address,company,short_description,rich_description,salary
Техник монтажник (it),https://hh.ru/vacancy/131821402?query=it&hhtmFrom=vacancy_search_list,Усть-Каменогорск,ТОО Сей-Нар,"Средне-специальное техническое профильное образование. Грамотная речь, вежливость и пунктуальность, управление конфликтами, навыки общения с простыми пользователями. Обучаемость, умение работать...",,
Аналитик IT,https://hh.ru/vacancy/131973481?query=it&hhtmFrom=vacancy_search_list,"Петрозаводск, Московская улица, 16",ГБУЗ Республики Карелия Республиканский медицинский информационно-аналитический центр,Знание систем управления базами данных. Уверенное владение SQL. Навыки фомирования выборки данных по сложным критериям. Опыт работы с реляционными СУБД.,,
IT-специалист,https://hh.ru/vacancy/131186392?query=it&hhtmFrom=vacancy_search_list,"Актау, микрорайон 3Б, 55/1",ТОО ADVER.KZ,"Администрирование сетевого оборудования Mikrotik. Отличное понимание модели OSI и TCP/IP. Маршрутизация: static routes. Коммутация: VLAN, trunk. NAT. DHCP, DNS.",,
Руководитель IT отдела,https://hh.ru/vacancy/128866673?query=it&hhtmFrom=vacancy_search_list,Москва,ООО КомСтрой,"Высшее образование. Опыт работы системным администратором не менее 5 лет, в должности руководителя отдела/группы от 2х лет.",,
Спикер направления IT,https://hh.ru/vacancy/131987706?query=it&hhtmFrom=vacancy_search_list,Москва,Ventra,"География: Россия, Казахстан, Узбекистан, Беларусь. Публичность внутри крупного",,
Руководитель отдела IT,https://hh.ru/vacancy/131986522?query=it&hhtmFrom=vacancy_search_list,"Пермь, р-н Дзержинский",Автомобильный холдинг Экскурс,...практик организации,,
Менеджер IT проектов,https://hh.ru/vacancy/131986493?query=it&hhtmFrom=vacancy_search_list,Москва,ООО PepsiCo,"Опыт работы в управлении проектами более 3 лет, предпочтительно в сфере ИТ, digital или transformation. Опыт реализации региональных проектов, включая...",,
IT-рекрутер (Gamedev),https://hh.ru/vacancy/131699547?query=it&hhtmFrom=vacancy_search_list,Минск,Леста Игры,"Опыт рекрутинга в геймдеве не менее 3 лет (работа со стримами арт / разработка / инфраструктура). Умение приоритизировать и структурировать задачи, эффективно...",,
Специалист группы IT,https://hh.ru/vacancy/131983733?query=it&hhtmFrom=vacancy_search_list,"Уфа, р-н Орджоникидзевский",Филиал ПАО АНК Башнефть Башнефть-УНПЗ,"Высшее профессиональное (техническое), среднее профессиональное образование. С высшим профессиональным образованием без предъявления требований к стажу. Со средним профессиональным образованием, опыт...",,
Financial Controller (IT Company),https://hh.ru/vacancy/131090734?query=it&hhtmFrom=vacancy_search_list,Москва,АИМОР,"Самостоятельность, системное мышление и способность работать с большим объёмом данных. Опыт работы в",,
Менеджер IT-проектов,https://hh.ru/vacancy/131534574?query=it&hhtmFrom=vacancy_search_list,Москва,АНО ЦИСМ,Опыт от 2-х лет в управлении,,
Начинающий специалист IT,https://hh.ru/vacancy/131870428?query=it&hhtmFrom=vacancy_search_list,"Ижевск, р-н Октябрьский",ООО Центр Информационных Технологий БАРС,Выпускника или так же студента последних курсов с профильным,,
"PR-специалист (IT, финтех)",https://hh.ru/vacancy/131543131?query=it&hhtmFrom=vacancy_search_list,Москва,Маслов : агентство,Опыт работы от 6 месяцев на позиции PR-специалиста. Знания английского не ниже Intermediate. Грамотный и качественный копирайтинг: умение хорошо...,,
IT manager/Системный администратор,https://hh.ru/vacancy/131872358?query=it&hhtmFrom=vacancy_search_list,"Астана, проспект Мангилик Ел, B1",Alem.ai Foundation,"Hard skills: Networking (TCP/IP, VLAN, WiFi). MacOS / Windows / Linux. MDM (Mosyle / Jamf / Intune). Scripting (bash / python). Базовый cloud (Google...",,
Руководитель отдела IT,https://hh.ru/vacancy/129770833?query=it&hhtmFrom=vacancy_search_list,"Липецк, р-н Правобережный",ООО ККМ.ЦЕНТР,"Уверенное знание ОС Windows, Windows Server и прикладных программ. Опыт руководства отделом от 1 года ОБЯЗАТЕЛЕН. Самостоятельность, ответственность, пунктуальность.",,
Системный администратор / IT-инженер,https://hh.ru/vacancy/131817931?query=it&hhtmFrom=vacancy_search_list,"Старая Купавна, Дорожная улица, 12Кс1",ООО Эс Джи Эс,Работа с DNS и доменными зонами. -SSL-сертификаты. -Имеет опыт системного администрирования от 3 лет. -Работал с 1С на...,,
Менеджер по продажам IT,https://hh.ru/vacancy/131988153?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЮМА-Девелопмент,Опыт в B2B ( опыт в,,
Системный администратор/Специалист IT,https://hh.ru/vacancy/131987867?query=it&hhtmFrom=vacancy_search_list,"Улан-Удэ, улица Чертенкова, 71","СНС, Группа компаний","Образование не ниже среднего профессионального. Администрирование: MS Windows (2003,2008, XP)/MS Office/1С 8.1/MS SQL (поддержка...",,
Технический специалист (IT),https://hh.ru/vacancy/131973768?query=it&hhtmFrom=vacancy_search_list,"Усть-Каменогорск, улица Казахстан, 62",Sulpak,Опыт не нужен — всему научим с нуля. Чем будешь заниматься: Если есть опыт или образование в,,
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131254569?query=it&hhtmFrom=vacancy_search_list,Москва,efin,Глубокое понимание архитектуры корпоративной,,
IT Проект-Менеджер,https://hh.ru/vacancy/130240010?query=it&hhtmFrom=vacancy_search_list,"Ташкент, улица Богишамол, 260А",ООО INNASOFT DIGITAL SERVICE,Опыт работы в должности,,
Менеджер по продажам (IT),https://hh.ru/vacancy/131379246?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Тверской",MT global,"Ты отлично разбираешься в ИТ-рынке, знаешь технологии продаж в этой отрасли - интеграция и мультимедийные решения. У тебя есть большой...",,
Менеджер IT проектов,https://hh.ru/vacancy/131525237?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Евролос,Понимание принципов управленческого и бухгалтерского учета. Понимание основных принципов построения интеграций между различными информационными системами. Понимание базовых принципов работы операционных...,,
Интернет маркетолог в IT (Edtech),https://hh.ru/vacancy/131992929?query=it&hhtmFrom=vacancy_search_list,Самара,ООО Мой Класс,"погруженность в сферу, любовь к маркетингу. - понимание специфики бизнеса, опыт работы в",,
Веб-дизайнер (IT проект),https://hh.ru/vacancy/131248998?query=it&hhtmFrom=vacancy_search_list,"Казань, р-н Вахитовский",ООО Оператор Информационных Систем,Опыт работы веб-дизайнером от 3 лет. Сильное портфолио с интерфейсами сайтов или веб-сервисов. Уверенное владение Figma.,,
Интернет маркетолог в IT (Edtech),https://hh.ru/vacancy/131992929?query=it&hhtmFrom=vacancy_search_list,Самара,ООО Мой Класс,"погруженность в сферу, любовь к маркетингу. - понимание специфики бизнеса, опыт работы в",,
Веб-дизайнер (IT проект),https://hh.ru/vacancy/131248998?query=it&hhtmFrom=vacancy_search_list,"Казань, р-н Вахитовский",ООО Оператор Информационных Систем,Опыт работы веб-дизайнером от 3 лет. Сильное портфолио с интерфейсами сайтов или веб-сервисов. Уверенное владение Figma.,,
Менеджер по продажам IT решений,https://hh.ru/vacancy/131726647?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Ассистент,Опыт в B2B-продажах и знание технологий продаж. Опыт работы в продажах программ 1С и услуг по...,,
Системный администратор (it-специалист),https://hh.ru/vacancy/131695984?query=it&hhtmFrom=vacancy_search_list,"Челябинск, р-н Советский",ООО Отель Меридиан,Опыт работы от 3 до 6 лет в аналогичной должности. Знание программ 1С и Эдельвейс. Опыт настройки и администрирования...,,
Менеджер по продажам в IT,https://hh.ru/vacancy/131874496?query=it&hhtmFrom=vacancy_search_list,Нижний Новгород,Кодалитика,Не требуется опыт в 1С или,,
Ассистент руководителя в IT компанию,https://hh.ru/vacancy/131991597?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Дэстэн Партнерс,"Опыт работы бизнес-ассистентом от 1 года (будет преимуществом). Продвинутый уровень Google Docs, Excel. Ориентация на результат, ответственность, внимательность к...",,
Project Manager / Проджект менеджер IT / Менеджер IT-проекта,https://hh.ru/vacancy/131534217?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Визионеро,Имеете успешный опыт создания программно-аппаратных продуктов (в идеале - медоборудования или сложных решений). Имеете опыт разработки игровых приложений или механик...,,
Менеджер по продлению клиентов (IT),https://hh.ru/vacancy/127367164?query=it&hhtmFrom=vacancy_search_list,"Ростов-на-Дону, р-н Ленинский",ГЭНДАЛЬФ,Эмпатичность и коммуникабельность. Внимательность - для грамотной работы с документами. Грамотная речь и активная жизненная позиция. Опыт в продажах\консультациях B...,,
Менеджер по продажам (IT компания),https://hh.ru/vacancy/128312126?query=it&hhtmFrom=vacancy_search_list,"Ростов-на-Дону, р-н Ленинский",ГЭНДАЛЬФ,У тебя есть опыт B2B продаж и/или продаж на звонках. Тебя не пугают холодные звонки и ты...,,
IT Аккаунт менеджер (Outstaff),https://hh.ru/vacancy/131980599?query=it&hhtmFrom=vacancy_search_list,"Пермь, р-н Свердловский",Eclipse Digital,...ответственность за результат. Грамотная устная и письменная речь. Уверенное владение ПК. Опыт в,,
Менеджер по продажам IT систем,https://hh.ru/vacancy/131820391?query=it&hhtmFrom=vacancy_search_list,"Донецк, Красноармейская улица, 73",Ваш Консультант,Умеешь налаживать контакт с людьми. Желаешь развиваться и работать в сфере продаж. Имеешь активную жизненную позицию. Хочешь и умеешь хорошо...,,
Менеджер по рознице и IT,https://hh.ru/vacancy/131873693?query=it&hhtmFrom=vacancy_search_list,"Ставрополь, р-н Промышленный",ООО Кавказ-Дизель,"Высшее либо среднее образование. Навыки работы с ПК на уровне уверенного пользователя. Аналитический склад ума. Амбициозность, инициативность, целеустремленность.",,
Менеджер по продажам IT оборудования,https://hh.ru/vacancy/131871458?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Мир Электроники и Техники,Опыт работы в продажах,,
Руководитель направления продаж (IT),https://hh.ru/vacancy/131531662?query=it&hhtmFrom=vacancy_search_list,"Владимир, р-н Октябрьский",АДАПТА,"Вырос из роли «исполнителя» и хочет собирать бизнес с нуля своими руками. Знает регион, его бизнес-сообщество, первых лиц и...",,
IT-специалист/Системный администратор,https://hh.ru/vacancy/131978675?query=it&hhtmFrom=vacancy_search_list,Екатеринбург,Стоматология Ультра-Дент,"Знание операционных систем Windows 10, Windows server 2019 на уровне администратора. Коммуникабельность и ответственность. Умение быстрого самостоятельного поиска и устранения...",,
IT-специалист / сервисный инженер,https://hh.ru/vacancy/131242627?query=it&hhtmFrom=vacancy_search_list,"Сургут, р-н Восточный",ООО СК-ГРУПП,,,
Digital-маркетолог в IT (облака),https://hh.ru/vacancy/131701392?query=it&hhtmFrom=vacancy_search_list,"Тюмень, р-н Ленинский",mClouds.ru,Базовое понимание SEO. Понимание различий B2B и B2C маркетинга. Интерес к,,
Заместитель декана по IT технологиям,https://hh.ru/vacancy/131959729?query=it&hhtmFrom=vacancy_search_list,Москва,Московский финансово-юридический университет МФЮА,"Обязателен опыт работы в образовательных организациях в качестве специалиста деканата, специалиста кафедры по",,
Менеджер по продажам (IT-продукт),https://hh.ru/vacancy/131701465?query=it&hhtmFrom=vacancy_search_list,Москва,ИП Костров Иван Александрович,,,
Менеджер по продажам (IT оборудование),https://hh.ru/vacancy/131202310?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Ф-Групп,"Опыт работы в смежных сферах, особенно в",,
Sales-manager в IT-компанию,https://hh.ru/vacancy/129582950?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,М-СТАЙЛ,"ВЫСШЕЕ ОБРАЗОВАНИЕ. - активность, обучаемость и интерес к сфере продаж. - позитивный настрой, грамотная речь и желание зарабатывать.",,
