title,hh_link,address,company,short_description,experience,salary
Программист 1С:ERP,https://hh.ru/vacancy/131316014?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,АО ПТК Модерам,"Высшее профильное или дополнительное профильное образование. Успешный практический опыт программирования в 1С 8, работа с нетиповыми конфигурациями.",Опыт более 6 лет,"до 200 000 ₽ за месяц, до вычета налогов"
Программист 1С,https://hh.ru/vacancy/129795992?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Славдом,"Опыт разработки как обычных, так и управляемых форм (обязательно). Опыт в разработке самописных конфигураций. Знание СКД. Опыт разработки с использованием...",Опыт 3-6 лет,
ML-разработчик в Яндекс Еду,https://hh.ru/vacancy/131956266?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Яндекс Еда,"Разрабатывали на Python, C++ или других объектно-ориентированных языках программирования. Хорошо знаете и применяли методы анализа данных и ML.",Опыт 3-6 лет,
Senior Python Developer (Модуль Value),https://hh.ru/vacancy/131978078?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Сбер. IT,Опыт работы в роли,Опыт более 6 лет,
Программист Pixhawk / Ardupilot,https://hh.ru/vacancy/131953981?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Калашников-ГСН,"Опыт работы с ArduPilot (или аналогов) и изменение исходного кода. Опыт от 3х лет. Знание C/C++ (ARM, STM...",Опыт 1-3 года,
Менеджер по развитию бизнеса (Business Development Manager),https://hh.ru/vacancy/130536890?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Кировский",ООО ХЕКНИ ЭКСПРЕСС,"Высшее образование. Опыт работы в области продаж логистических услуг не менее 3-х лет (морские, железнодорожные, авиа- и автомобильные грузоперевозки).",Опыт 1-3 года,
Ведущий инженер-разработчик (светопрозрачные конструкции),https://hh.ru/vacancy/131171362?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Префаб Технологии,Опыт разработки КМ и КМД СПК. Знание оконного рынка и основных поставщиков профильных систем. Опыт работы в расчетных программах AutoCad...,Опыт 1-3 года,"165 000 – 300 000 ₽ за месяц, до вычета налогов"
C/C++ разработчик в CDN,https://hh.ru/vacancy/131948141?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,VK,"Хороший уровень владения C и C++. Базовое владение языком Go (опционально). Опыт написания модулей nginx. Понимание работы сетей, балансировки и...",Опыт более 6 лет,
Менеджер по развитию дилеров/Dealer Development Manager,https://hh.ru/vacancy/131390937?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Генау,Опыт в развитии дилерской сети от 2–3 лет. Навыки ведения переговоров и заключения сделок. Понимание B2B продаж.,Опыт 1-3 года,
Программист 1С,https://hh.ru/vacancy/131168718?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО LEX Group,Опыт работы,Опыт 3-6 лет,
Senior/Tech Lead frontend-разработчик,https://hh.ru/vacancy/127181421?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Бизнес Технологии,"Значительный опыт работы в области frontend или fullstack разработки. Уверенное владение основными веб-технологиями: HTML, CSS, JavaScript и React, Vue...",Опыт более 6 лет,"300 000 – 400 000 ₽ за месяц, на руки"
Программист-наладчик токарных/фрезерных станков с ЧПУ,https://hh.ru/vacancy/131074354?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Балтийские технические решения,Опыт работы на станках с ЧПУ. Знание G-кода или CAM-систем. Умение читать чертежи. Ответственность и аккуратность.,Опыт 3-6 лет,"130 000 – 180 000 ₽ за месяц, на руки"
Senior Backend разработчик Java/Kotlin,https://hh.ru/vacancy/107445429?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Okko,"Уверенное знание Java SE. Уверенное знание SQL. Понимание принципов проектирования клиент-серверных интерфейсов (REST). Опыт работы со Spring Framework, Postgres...",Опыт более 6 лет,
Менеджер по продажам услуг для девелоперов,https://hh.ru/vacancy/130916887?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Decard studio,"Опыт в продажах (желательно в B2B или в сфере услуг). Умение слушать и слышать клиента, выявлять его потребности.",Опыт 1-3 года,"127 000 – 270 000 ₽ за месяц, на руки"
Разработчик 1С,https://hh.ru/vacancy/131431032?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Партс Планет Трейдинг,Опыт коммерческой разработки на платформе 1С:Предприятие 8.3 от 2-х лет. Уверенное знание типовой конфигурации 1С...,Опыт 1-3 года,
