title,hh_link,address,company,short_description,experience,salary
Ассистент инженера-тестировщика,https://hh.ru/vacancy/131550802?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Рязань, р-н Железнодорожный",ИП Демидов Алексей Евгеньевич,"Опыт работы не обязателен — всему научим! ️ Ответственность, активность и пунктуальность. ️ Способность быстро осваивать новые навыки.",Без опыта,"от 130 000 ₽ за месяц, на руки"
Тестировщик ПО,https://hh.ru/vacancy/131368023?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Инсайрес,"Понимание жизненного цикла ПО. Знание теории тестирования (виды, методы, этапы, техники тестирования). Техническое образование. Знание SQL. Опыт работы с СКУД.",Опыт 1-3 года,
Начинающий инженер-тестировщик,https://hh.ru/vacancy/131213289?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,FixItRight,Для кандидатов без опыта: активно обучаться в процессе работы. Внимательность. Пунктуальность. Обучаемость. Нацеленность на результат.,Без опыта,
Ассистент инженера-тестировщика,https://hh.ru/vacancy/131632186?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Чебоксары, проспект Ленина, 40",ИП Ходжаев Тимур Русланович,"Рассмотрим кандидатов без опыта, всему обучим! Ответственность, обучаемость, активность и внимательность.",Без опыта,"90 000 – 180 000 ₽ за месяц, на руки"
Тестировщик,https://hh.ru/vacancy/131674217?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Алматы, проспект Сакена Сейфуллина, 502",ТОО Микрофинансовая организация ФРИДОМ ФИНАНС Кредит,"Знание White/Black/Grey Box-тестирования. Знание методов и методик тестирования, видов тестирования, техник тест-дизайна. Опыт работы с...",Опыт 1-3 года,
Инженер-тестировщик,https://hh.ru/vacancy/131848088?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Омск, р-н Центральный",Магма Компьютер,"Выcшее образование ПГС/IT. Знание программ в области САПР, основы документооборота в проектировании. Опыт работы или базовые знания в области...",Опыт 1-3 года,
Тестировщик (GSM/LTE),https://hh.ru/vacancy/131875755?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,HEX.TEAM,"Опыт работы с Wireshark. Опыт работы с Linux на продвинутом уровне, знание базовых команд, структуры каталогов. Знание стека TCP/IP...",Опыт 1-3 года,
Тестировщик (руководитель группы),https://hh.ru/vacancy/131991753?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Саратов, р-н Кировский",nopreset,"Опыт работы в тестировании от 2-х лет. - Опыт в наставничестве, обучении и/или руководстве от полугода. - Знание теории тестирования. -",Опыт 1-3 года,"до 110 000 ₽ за месяц, на руки"
Младший инженер-тестировщик,https://hh.ru/vacancy/131992056?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,MosPoint,Образование и опыт работы не требуется.,Без опыта,"140 000 – 170 000 ₽ за месяц, на руки"
Программист-тестировщик (QA Engineer),https://hh.ru/vacancy/132000670?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Астана,Глоба Наталья Андреевна,Опыт ручного тестирования от 2 лет. Опыт автоматизации тестирования от 1 года (стек на ваше усмотрение). Знание особенностей тестирования Android...,Опыт 1-3 года,"800 $ за месяц, на руки"
Младший инженер - тестировщик,https://hh.ru/vacancy/131538909?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Воронеж, р-н Советский",Чупраков Алексей Романович,Опыт работы НЕ требуется.Готовы обучить новых сотрудников С НУЛЯ! Ответственность и внимательность. Желание обучаться и развиваться.,Без опыта,"110 000 – 165 000 ₽ за месяц, на руки"
Тестировщик/QA инженер,https://hh.ru/vacancy/131980899?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,КУШНИКОВА ЕЛЕНА ВЛАДИМИРОВНА,"Опыт в ручном тестировании от 3 лет. Знание CS-Cart: вы понимаете, как устроена платформа и чем отличаются её редакции.",Опыт 1-3 года,"81 000 – 92 000 ₽ за месяц, до вычета налогов"
QA Engineer,https://hh.ru/vacancy/131996961?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Эддреалити,Опыт ручного тестирования. Опыт написания авто тестов. Умение грамотно и полно описывать проблему. Понимание принципов работы web и знание сетевых...,Опыт 1-3 года,
FullStack QA тестировщик,https://hh.ru/vacancy/131977625?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Datanomica,"Опыт тестирования мобильных и WEB приложений (front-end, back-end) (опыт от 1 года). Опыт тестирования интеграционных взаимодействий крупного бизнеса...",Опыт 1-3 года,
Инженер-тестировщик РЗА,https://hh.ru/vacancy/129706671?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Иваново, р-н Ленинский",Юнител Инжиниринг,"Высшее техническое образование (электротехническое). Понимание построения электрических сетей, станций и подстанций разных классов напряжения, а также понимание процессов, в них...",Опыт 1-3 года,
QA Engineer,https://hh.ru/vacancy/131709755?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Алматы,ТОО My Startups,"Опыт работы в области QA в продуктовой команде от 1-2 лет. Знания теории тестирования (методологии, типы тестирования, SDLC, техники...",Опыт 3-6 лет,
