title,hh_link,address,company,short_description,experience,salary
Системный администратор / Инженер IT-инфраструктуры,https://hh.ru/vacancy/131976810?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Innovative Network Technologies (Ай Эн Ти),"Active Directory (DC, GPO, DNS, FSMO, репликация). Поддержка Exchange (желательно 2016/2019). RDP / Terminal Services / VDI (VMware Horizon).",Опыт 3-6 лет,
Руководитель проектов в IT-компании,https://hh.ru/vacancy/131240636?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПРОТЕЙ ТЛ,Высшее техническое образование (предпочтительно в области связи или,Опыт более 6 лет,
Менеджер проектных продаж IT-продукта,https://hh.ru/vacancy/120953573?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Фрунзенский",ООО Симпэйс,У тебя есть 1-3 года опыта в продажах (желательно B2B) и ты не представляешь жизни без азарта...,Опыт 1-3 года,
Менеджер по сопровождению клиентов / Аккаунт-менеджер IT,https://hh.ru/vacancy/130698311?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,,Опыт 1-3 года,
Менеджер по продажам маркетинговых услуг IT B2B,https://hh.ru/vacancy/129313454?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ДОКТУ,"Ты уверен в себе и настроен на результат. Ты активен, целеустремлен и хочешь много зарабатывать. У тебя грамотная устная и...",Опыт 1-3 года,"150 000 – 350 000 ₽ за месяц, на руки"
Менеджер по продажам IT и телеком-оборудования,https://hh.ru/vacancy/131195243?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Парк Телеком,"Требования к кандидату: ответственность, техническая и экономическая грамотность, коммуникабельность, грамотная устная речь, нацеленность на результат, стрессоустойчивость. Стремление к повышению профессионального...",Опыт 1-3 года,"120 000 – 150 000 ₽ за месяц, на руки"
Менеджер по обучению клиентов ( IT компания - в офисе ),https://hh.ru/vacancy/131870190?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЮМА-Девелопмент,"Клиентоориентированность. Обучаемость. Ответственность. Мы приветствуем опытных кандидатов, однако наличие опыта на аналогичной позиции не является обязательным, т.к.",Опыт 1-3 года,"до 80 000 ₽ за месяц, на руки"
Менеджер по продажам в IT (1С),https://hh.ru/vacancy/131243981?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,АртАйТи,Опыт работы в продажах или клиентском сервисе от 6 месяцев (желательно в B2B). Грамотная устная и письменная речь.,Опыт 1-3 года,
Руководитель IT-проектов,https://hh.ru/vacancy/130899399?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Нетрика Медицина,Релевантный опыт работы от 3-х лет. Практический опыт организации разработки и внедрения ИС автоматизации деятельности организации. Практический опыт участия...,Опыт 3-6 лет,
Менеджер по продажам комплексных решений (IT),https://hh.ru/vacancy/131848169?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,MANGO OFFICE,"Имеете опыт B2B-продаж от 2 лет, идеально — в",Опыт 1-3 года,
Начинающий IT-специалист / специалист по IP-телефонии,https://hh.ru/vacancy/131807725?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ESM DIGITAL,"Проактивный и внимательный к деталям. -Усидчивый, готов к рутинным задачам. -Технически подкованный (будет плюсом опыт с IP-телефонией и опыт...",Без опыта,"70 000 ₽ за месяц, на руки"
Руководитель проектов по внедрению финансовых IT-решений,https://hh.ru/vacancy/131091243?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,"ЭТМ, компания","Высшее образование (техническое, экономическое, управленческое). Опыт управления проектами в финансовом блоке. Понимание бизнес-процессов торговой компании, знание нормативной базы (приказы...",Опыт 3-6 лет,
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131966604?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО ТитанСтройТехнологии,Высшее образование (,Опыт 3-6 лет,"220 000 – 250 000 ₽ за месяц, на руки"
Менеджер IT проектов,https://hh.ru/vacancy/131943793?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Верста,Опыт управления,Опыт 1-3 года,
Менеджер технической поддержки / аккаунт-менеджер в образовательной программе по запуску IT-проектов,https://hh.ru/vacancy/131270926?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Captain Lab,...технической поддержке,Опыт 1-3 года,"от 100 000 ₽ за месяц, на руки"
Менеджер по продажам B2B (IT оборудование),https://hh.ru/vacancy/131236874?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Импульс Телеком,Самое главное – желание развиваться в,Опыт 1-3 года,"от 200 000 ₽ за месяц, на руки"
Бизнес-аналитик в IT,https://hh.ru/vacancy/131787711?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Delaweb,Опыт работы бизнес-аналитиком в заказной разработке разных проектов в,Опыт 3-6 лет,"150 000 – 200 000 ₽ за месяц, на руки"
"Менеджер по продажам ПО (B2B, IT-автоматизация)",https://hh.ru/vacancy/131241455?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Алтек,Понимание цикла продаж сложных решений. Опыт в,Опыт 1-3 года,"140 000 – 210 000 ₽ за месяц, до вычета налогов"
Заместитель начальника IT отдела,https://hh.ru/vacancy/131954797?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,АО ЗАСЛОН,Высшее образование. Опыт работы по организации и управлению работы ИТ-подразделения. Комплексный подход и своевременная отчётность. Гибкость и умение найти...,Опыт более 6 лет,
IT инженер,https://hh.ru/vacancy/131915083?query=it&hhtmFrom=vacancy_search_list,Ханты-Мансийский автономный округ — Югра,ЭйчарОсы,Среднее или высшее техническое образование. Знание Linux. Опыт в аналогичной сфере не менее 3 лет.,Опыт 1-3 года,
Системный администратор/IT-специалист,https://hh.ru/vacancy/131951969?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО БалтФрут-Северная Столица,Знания по работе с ЭЦП. Требования: Опыт работы системным администратором от 3-х лет. Знание операционных систем Windows и Linux.,Опыт 1-3 года,"от 100 000 ₽ за месяц, на руки"
Водитель на иномарку компании в IT-холдинг (Категории B),https://hh.ru/vacancy/131629243?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ГРУЗМАСТЕР,"Права категории B. Стаж от 1 года. Нормальное, аккуратное вождение.",Без опыта,"до 199 000 ₽ за месяц, до вычета налогов"
Сборщик товара с ТСД на теплый мини склад в IT компанию Яндекс (кладовщик комплектовщик),https://hh.ru/vacancy/129716788?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Найм персонал PRO,"НЕ ПРОДУКТЫ - медкнижка не нужна). (без штрафов, спокойный темп)!. Перемещать лёгкие коробки по складу на тележке — спортзал не нужен!",Без опыта,"от 170 000 ₽ за месяц, на руки"
Менеджер в IT компанию,https://hh.ru/vacancy/131068447?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,М-СТАЙЛ,"ВЫСШЕЕ ОБРАЗОВАНИЕ. Наличие коммуникативных навыков, активность, нацеленность на результат. Позитивный настрой, грамотная речь и желание зарабатывать.",Без опыта,"от 120 000 ₽ за месяц, на руки"
Менеджер по продажам (IT),https://hh.ru/vacancy/129582998?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,М-СТАЙЛ,"Высшее образование (законченное или в процессе получения ). Если ты ещё студент – главное, чтобы мог работать полный день в офисе.",Без опыта,"от 120 000 ₽ за месяц, на руки"
Юрист в сфере IT/IP (по интеллектуальной собственности),https://hh.ru/vacancy/131968442?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Dmitrenko Legal,"Законченное высшее юридическое образование. Опыт работы в сфере интеллектуальной собственности обязателен. Навыки ведения деловых переговоров, навыки выступлений в судах.",Опыт 3-6 лет,"до 140 000 ₽ за месяц, на руки"
Менеджер по продажам медицинских IT-решений,https://hh.ru/vacancy/131964149?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО КВАНТ,Успешный опыт В2В продаж от 1 года. Опыт продаж,Опыт 1-3 года,
Менеджер по продажам в IT компанию,https://hh.ru/vacancy/131963707?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО КомпасЛидера,Опыт в продажах (B2B/B2C) или сильные навыки переговоров. Грамотная речь и умение убеждать.,Без опыта,"80 000 – 200 000 ₽ за месяц, до вычета налогов"
Project manager IT,https://hh.ru/vacancy/131928326?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО РИТМ-ПРО,Опыт администрирования,Опыт 1-3 года,"от 100 000 ₽ за месяц, на руки"
Project manager IT,https://hh.ru/vacancy/131928326?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО РИТМ-ПРО,Опыт администрирования,Опыт 1-3 года,"от 100 000 ₽ за месяц, на руки"
Аккаунт-менеджер в IT компанию,https://hh.ru/vacancy/131945270?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Альфа Хантер,"Опыт работы с клиентами от 1 года (аккаунт-менеджер, специалист поддержки, менеджер по сопровождению клиентов). Умение вести деловую переписку, клиентоориентированность.",Опыт 1-3 года,"от 70 000 ₽ за месяц, до вычета налогов"
Специалист по бюджетированию/экономист (IT),https://hh.ru/vacancy/131945476?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Московский",ООО Газпромтранс,"Стаж работы – от 3х лет. Образование высшее экономическое/финансовое. Знание бухгалтерского (ПБУ, ФСБУ) и управленческого учета (БДР, ИП, БДДС).",Опыт 3-6 лет,
Курьер в офис IT-компании,https://hh.ru/vacancy/131943747?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Нетрика Медицина,"Опыт работы курьером от полугода. Хорошее знание города Санкт-Петербурга. Готовность к разъездной работе. Ответственность, пунктуальность, вежливость. Навыки планирования времени...",Опыт 1-3 года,
Менеджер по продажам IT-продукта,https://hh.ru/vacancy/131779192?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Коммерсант Эксперт,Умеете находить общий язык с разными людьми и строить доверительные отношения с клиентами. Любите продавать и получаете удовольствие от переговоров...,Опыт 1-3 года,"70 000 – 120 000 ₽ за месяц, до вычета налогов"
"Редактор Telegram-канала по запуску IT-проектов / автор блогов на Habr, vc.ru",https://hh.ru/vacancy/131435731?query=it&hhtmFrom=vacancy_search_list,Москва,Captain Lab,базовое понимание архитектуры,Опыт 1-3 года,"от 100 000 ₽ за месяц, до вычета налогов"
IT ресечер / Сорсер,https://hh.ru/vacancy/131910889?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,"Облачные, инфраструктурные сервисы и Яндекс 360",Имеете опыт работы в,Опыт 1-3 года,"до 50 000 ₽ за месяц, до вычета налогов"
Менеджер IT-проектов,https://hh.ru/vacancy/131907089?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЗАО Институт телекоммуникаций,Опыт работы менеджером проектов в,Опыт 1-3 года,
Директор IT,https://hh.ru/vacancy/131864867?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",JetStaff,"Способность к стратегическому планированию, умение аргументировать и отстаивать свою позицию. Коммерческая направленность в разработке и внедрении",Опыт более 6 лет,
Менеджер по продажам it-услуг (b2b),https://hh.ru/vacancy/130880846?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,билайн: Бэк-офис,Опыт в продажах (желательно от 1 года) в любой сфере — мы ценим навык вести переговоры и умение находить общий язык...,Опыт 1-3 года,
