title,hh_link,address,company,short_description,experience,salary
Product Designer UI/UX,https://hh.ru/vacancy/131681444?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ИП Кузьминова Алеся Игоревна,"Проектирование пользовательского опыта. Инструменты: Какой опыт нам важен: Продуктовый опыт (не лендинги). Мобильные приложения (must). Будет круто, если ты имеешь...",Опыт 3-6 лет,
UX/UI Дизайнер,https://hh.ru/vacancy/131508714?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,АО Р7,,Опыт 3-6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/131501865?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Пенза, р-н Ленинский",Агентство digital-маркетинга,...Adobe Illustrator/Coral Draw. Понимание адаптивного дизайна. Умение работать с нейросетями для генерации графического контента. Хорошее понимание,Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/131498444?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,деревня Боровлянка,ИП Рязанцев Михаил,...работы,Опыт более 6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/131498934?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Минск,ООО Студия Сташевского,Опыт работы,Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/131489423?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Ташкент, улица Махтумкули, 178/1",АО Национальный межбанковский процессинговый центр,Опыт работы,Опыт 3-6 лет,
Графический дизайнер e-com,https://hh.ru/vacancy/131876986?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,"Бренд одежды, обуви и аксессуаров LIMÉ",Опыт работы в fashion-индустрии (как преимущество). Понимание принципов,Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/131439883?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Брест, Пионерская улица, 52","ВараниСтройМаркет, ЧТУП",Уверенное владение Figma. Понимание принципов,Опыт 1-3 года,
Гейм-дизайнер,https://hh.ru/vacancy/130994970?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Смарт Геймс Девелопмент,"Уверенная работа с таблицами (Google Sheets / Excel), базовым скриптингом. Базовое знание",Опыт 1-3 года,
UI/UX дизайнер (GameDev),https://hh.ru/vacancy/131503762?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО GAME DESIGN INTERACTIVE,Опыт работы,Опыт 1-3 года,
Стажер UX/UI-дизайнер,https://hh.ru/vacancy/128087131?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Онли,Профильное образование. Опыт в т.ч. собственные проекты.,Без опыта,
Product Designer (UI/UX),https://hh.ru/vacancy/125914892?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Сербия,ТОО Wisebits,Твое портфолио с продуктовыми кейсами (мы его внимательно изучаем перед собеседованием). Знание Figma/Photoshop/Illustrator. Опыт работы продуктовым,Опыт 3-6 лет,
Креативный директор / Дизайнер бренда одежды JUNE,https://hh.ru/vacancy/131888834?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Сочи, р-н Центральный",ИП Грачева Евгения Александровна,Будет плюсом: Опыт работы с fashion‑проектами или одеждой. Навыки арт‑дирекции фотосъёмок. Базовое понимание,Опыт 1-3 года,
"Веб-дизайнер/дизайнер интерфейсов (с приоритетом ИИ, без кода)/Web/UI Designer (AI First & No-code)",https://hh.ru/vacancy/131778804?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Московский авиационный институт (национальный исследовательский университет),"Требуемый опыт работы: в индустрии Web/UIUX/Graphics от 6 лет обязательно. Полная занятость, полный день. AI — это обязательная часть...",Опыт более 6 лет,"150 000 – 180 000 ₽ за месяц, до вычета налогов"
UX/UI - дизайнер,https://hh.ru/vacancy/131411657?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО НЕКСТБИ,"Опыт работы в agile, продуктовой или итеративной разработке в команде нескольких",Опыт 3-6 лет,
UX-исследователь,https://hh.ru/vacancy/131718253?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Москва, р-н Раменки",Центральный банк Российской Федерации (Банк России),"...области клиентского опыта,",Опыт 3-6 лет,
Графический дизайнер,https://hh.ru/vacancy/131819018?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ФГБУК Государственный Русский музей,Опыт разработки дизайна email-рассылок (включая адаптивную верстку). Базовые навыки,Опыт 3-6 лет,
"Дизайнер интерфейсов (UI/UX), в офис",https://hh.ru/vacancy/131564990?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Краснодар, р-н Западный",ООО Дрим Тим,"Уверенная работа в Figma (компоненты, Auto Layout, прототипы). Понимание принципов",Опыт 1-3 года,"67 500 – 92 000 ₽ за месяц, до вычета налогов"
UI/UX Дизайнер (Figma + AI-инструменты),https://hh.ru/vacancy/131613215?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Калининград, р-н Ленинградский",ООО Балтавтоматика,"Портфолио с реальными проектами - веб-интерфейсы, дашборды, e-commerce. Понимание компонентной структуры",Опыт 1-3 года,"70 000 – 100 000 ₽ за месяц, до вычета налогов"
Middle-продуктовый дизайнер (Системы и UX),https://hh.ru/vacancy/129148647?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Группа компаний «Триумф»,Выпускник или также студент старших курсов технической специальности с опытом от 3-х лет. Обладает сильным логическим и системным мышлением...,Опыт 3-6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/131357339?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,DM Solutions,Опыт работы,Опыт 3-6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/131347918?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Ташкент,Научно информационный центр новых технологий при ГНК РУз,"Понимание работы с сетками, отступами, типографикой.",Опыт 3-6 лет,"25 000 000 – 40 000 000 so'm за месяц, на руки"
UI/UX-дизайнер,https://hh.ru/vacancy/131343168?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Белград,Employcity,Опыт работы от 3-х лет. Наличие портфолио. Уверенное владение функциональностью Figma. Опыт создания дизайн-систем. Опыт работы с атомарным...,Опыт 3-6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/131335901?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Алматы,ЧК CIRCLE LIMITED,"Уверенное владение Figma (Auto Layouts, Components, Prototyping). Понимание",Опыт 3-6 лет,"300 000 – 500 000 ₸ за месяц, до вычета налогов"
Продуктовый / UX/UI дизайнер (Middle),https://hh.ru/vacancy/131472647?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Минск, улица Толбухина, 2",ЗАО МАПСОФТ,Опыт построения и поддержки дизайн-систем. * Понимание,Опыт 3-6 лет,
Senior UI/UX designer,https://hh.ru/vacancy/131585366?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Сербия,Lucky Hunter,Ищут,Опыт более 6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/130654471?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,Более 4 лет опыта работы,Опыт 3-6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/129170143?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Тбилиси,Evercode Lab,Более 4 лет опыта работы,Опыт 3-6 лет,
UX/UI дизайнер,https://hh.ru/vacancy/131318562?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО ДИРЕКТ ТЕХ,Опыт работы на аналогичной позиции от 2-х лет. Знание особенностей создания,Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/130542436?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Тбилиси,Evercode Lab,Более 4 лет опыта работы,Опыт 3-6 лет,
UX/UI-дизайнер,https://hh.ru/vacancy/131314120?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ПИК-специализированный застройщик. Units. Строительство,Понимание основных принципов эффективного дизайна,Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/131301260?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Ташкент, улица Муминова, 4/2",ООО TELECOM SOFT,"Опыт работы с дизайн-системами и понимание принципов их построения. Знание гайдлайнов популярных мобильных платформ (iOS, Android). Уверенное владение Figma...",Опыт 3-6 лет,
Графический дизайнер,https://hh.ru/vacancy/131793257?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО ГРУППА КОМПАНИЙ АК,"Будет здорово, если ты знаком с основами",Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/131298203?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Advline,"Не менее двух лет комерческого опыта в веб дизайне. — Знание Figma, Adobe Photoshop, Sketch, или других инструментов для",Опыт 3-6 лет,
Системный/UX аналитик (Montecristo),https://hh.ru/vacancy/131797851?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Сбер. IT,"Понимание, из чего состоит",Опыт 3-6 лет,
UX/UI-копирайтер / Копирайтер,https://hh.ru/vacancy/131554529?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Онлайн-школа ЕГЭFlex,"Опыт в копирайтинге / редактуре / маркетинговых текстах. — Умение писать сильные, структурные и продающие тексты. — Понимание, как устроены лендинги, продуктовая упаковка и...",Опыт 1-3 года,"до 40 000 ₽ за месяц, до вычета налогов"
UI/UX дизайнер,https://hh.ru/vacancy/131258639?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО Айти Крон,Опыт в разработке карты экранов. Опыт в создании анимации при подготовке,Опыт 1-3 года,
