title,hh_link,address,company,short_description,experience,salary
Аналитик,https://hh.ru/vacancy/130793792?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Санкт-Петербург,"АО Комита, АО (Санкт-Петербург)",Веб-,Опыт 1-3 года,
Аналитик,https://hh.ru/vacancy/131708877?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Нижний Новгород,ООО Агентство Правовой Информации,"Опытный пользователь Word, Exсel. Опыт работы с базами",Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131959658?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,посёлок городского типа Новоивановское,М.Видео-Эльдорадо. ИТ,Опыт работы от 2-3 лет в анализе,Опыт 1-3 года,
Аналитик,https://hh.ru/vacancy/131536997?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Группа компаний ГУД - ФУД,Опыт работы бизнес-,Опыт 1-3 года,
Аналитик,https://hh.ru/vacancy/131252604?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Фонд Московский инновационный кластер,...,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131601488?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,RUTUBE,Понимание особенностей сбора,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131952894?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,"""МТС"", Аналитика","Продвинутый пользователь SQL (написание сложных запросов, оптимизация, работа с большими объемами",Опыт 1-3 года,
Стажер Дата Аналитик (сервис Заявки Телеком данных),https://hh.ru/vacancy/132000296?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,"""МТС"", Работа в IT","В том числе Студенты 3 и 4 курсов бакалавриата, специалитета или магистратуры. Начальные знания по SQL и Python.",Без опыта,
Аналитик данных,https://hh.ru/vacancy/131508219?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Самарканд,СП ООО AZIA METALL PROF,Опыт работы на позиции,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131954259?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Бишкек, улица Шота Руставели, 62",ЗАО Банк Компаньон,Понимание принципов работы DWH и интеграции,Опыт 1-3 года,
