title,hh_link,address,company,short_description,experience,salary
Senior C-разработчик Samba,https://hh.ru/vacancy/131070726?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Саратов, р-н Волжский",ООО Базальт СПО,"Опыт системного программирования под Linux (C, glibc). Знание принципов работы сетевого стека и системных сервисов. Опыт командной разработки и владение...",Опыт 3-6 лет,
Разработчик / технический аудитор AI/MVP-сервисов,https://hh.ru/vacancy/132000085?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Сервер Молл,"имеете коммерческий опыт разработки на уровне уверенного Middle+. — уверенно пишете backend на Python. — понимаете, как устроены серверные сервисы, API и...",Опыт 3-6 лет,
Python Developer,https://hh.ru/vacancy/131986584?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Богачева Анна Алексеевна,Python (FastAPI / Django / Flask). REST / gRPC. Опыт коммерческой разработки от 3–5 лет. Уверенное знание Python и опыт построения backend...,Опыт 3-6 лет,
Программист 1С,https://hh.ru/vacancy/131991194?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,СберСпасибо,"Обязательный опыт: Опыт разработки на управляемых формах (в т.ч. интерфейс ""Такси""). Опыт работы с расширениями конфигурации 1С.",Опыт 3-6 лет,
Разработчик 1С:ERP,https://hh.ru/vacancy/130287670?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Тольятти, р-н Центральный",ЭЛЕКТРОЩИТ САМАРА,Опыт работы,Опыт 3-6 лет,
Frontend-разработчик (WebApp / MAX UI),https://hh.ru/vacancy/131991277?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО ДЖЕМСТИМ,"Опыт коммерческой разработки на React или Vue от 3 лет. Опыт интеграции со сторонними API (OAuth2, JWT) — обязателен.",Опыт 3-6 лет,
Разработчик Python в LLM Platform,https://hh.ru/vacancy/124050164?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Таганрог,Т-Банк. ИТ. Разработка,"Опыт работы с Python 3. Опыт работы с FastAPI и базами данных PostgreSQL, контейнерами в Docker и кластерами Kubernetes.",Опыт 3-6 лет,
Разработчик ML,https://hh.ru/vacancy/131965044?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,"МАГНИТ, Розничная сеть. IT","Стек технологий: SQL, Python. Понимание как устроены основные ML-модели. Уверенные знания Python и SQL. Опыт в разработке, обучении и...",Опыт 3-6 лет,
Разработчик Java,https://hh.ru/vacancy/131964921?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Лоция,"Опыт разработки на Java/Spring от 5 лет. Опыт работы с Java 17+, Spring (Core, MVC, Boot, Data), JPA...",Опыт 3-6 лет,
Программист 1С,https://hh.ru/vacancy/131704357?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Хабаровск, р-н Железнодорожный",ООО Три Элемента,Опыт разработки в 1С от 2 лет. Уверенное знание платформы 1С:Предприятие 8.3. Опыт работы с управляемыми...,Опыт 3-6 лет,"от 150 000 ₽ за месяц, на руки"
Программист 1С,https://hh.ru/vacancy/130793395?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Екатеринбург,Bergauf,"Высшее профильное образование (информатика, математика). Опыт работы",Опыт 1-3 года,
PHP-разработчик (финансовые интеграции),https://hh.ru/vacancy/131976955?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Казань,amgroup автоматизация,"Технические навыки: - Уверенный PHP 7.4+ (типизация, ООП, работа с внешними API). - Опыт работы с очередями (Redis, RabbitMQ) или...",Опыт 1-3 года,"от 140 000 ₽ за месяц, на руки"
PHP-разработчик (middle/senior),https://hh.ru/vacancy/131070122?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Школа рекламы,,Опыт 3-6 лет,
