title,link,address,company,short_description,rich_description,salary,skils
Дизайнер интерфейсов,https://hh.ru/vacancy/131794327?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Wanted,Опыт работы в веб-дизайне и в проектировании пользовательских интерфейсов не менее 2-х лет. Наличие портфолио с примерами работ...,,,
Продуктовый дизайнер (Senior UX/UI),https://hh.ru/vacancy/131657252?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,"Навыки эффективной коммуникации (работа с командами: разработка, саппорт,",,,
Senior UX/UI Designer/Web-Designer,https://hh.ru/vacancy/131797126?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ИГРОФЕСТ,"Имеете опыт в проектировании интерфейсов, понимаете все базовые концепции",,,
UX/UI-дизайнер,https://hh.ru/vacancy/131541154?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Елабужский район, Особая экономическая зона Алабуга",Алабуга. Служба стратегического развития,"Опыт работы с дизайн‑системами (appearance, variants, tokens, slots). Опыт в проведении",,"от 157 500 ₽ за месяц, до вычета налогов",
UX/UI-дизайнер (продуктовый дизайнер),https://hh.ru/vacancy/131619764?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Бараковский Алексей Альбертович,"Collaba приветствует тебя, путник. Обычно тут пишут пункты и конкретные задачи, но у нас есть понимание вариативности запуска и развития...",,,
Гейм-дизайнер,https://hh.ru/vacancy/130994970?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Смарт Геймс Девелопмент,"Уверенная работа с таблицами (Google Sheets / Excel), базовым скриптингом. Базовое знание",,,
UI/UX дизайнер (GameDev),https://hh.ru/vacancy/131503762?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО GAME DESIGN INTERACTIVE,Опыт работы,,,
Стажер UX/UI-дизайнер,https://hh.ru/vacancy/128087131?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Онли,Профильное образование. Опыт в т.ч. собственные проекты.,,,
Графический дизайнер,https://hh.ru/vacancy/131819018?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ФГБУК Государственный Русский музей,Опыт разработки дизайна email-рассылок (включая адаптивную верстку). Базовые навыки,,,
UX/UI-дизайнер,https://hh.ru/vacancy/130654471?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,Более 4 лет опыта работы,,,
